coso;;
t;x;y
0;0;10
0,05;0;9,998775
0,1;0;9,9951
0,15;0;9,988975
0,2;0;9,9804
0,25;0;9,969375
0,3;0;9,9559
0,35;0;9,939975
0,4;0;9,9216
0,45;0;9,900775
0,5;0;9,8775
0,55;0;9,851775
0,6;0;9,8236
0,65;0;9,792975
0,7;0;9,7599
0,75;0;9,724375
0,8;0;9,6864
0,85;0;9,645975
0,9;0;9,6031
0,95;0;9,557775
1;0;9,51
1,05;0;9,459775
1,1;0;9,4071
1,15;0;9,351975
1,2;0;9,2944
1,25;0;9,234375
1,3;0;9,1719
1,35;0;9,106975
1,4;0;9,0396
1,45;0;8,969775
1,5;0;8,8975
1,55;0;8,822775
1,6;0;8,7456
1,65;0;8,665975
1,7;0;8,5839
1,75;0;8,499375
1,8;0;8,4124
1,85;0;8,322975
1,9;0;8,2311
1,95;0;8,136775
2;0;8,04
2,05;0;7,940775
2,1;0;7,8391
2,15;0;7,734975
2,2;0;7,6284
2,25;0;7,519375
2,3;0;7,4079
2,35;0;7,293975
2,4;0;7,1776
2,45;0;7,058775
2,5;0;6,9375
2,55;0;6,813775
2,6;0;6,6876
2,65;0;6,558975
2,7;0;6,42790000000001
2,75;0;6,294375
2,8;0;6,15840000000001
2,85;0;6,01997500000001
2,9;0;5,87910000000001
2,95;0;5,73577500000001
3;0;5,59000000000001
3,05;0;5,44177500000001
3,1;0;5,29110000000001
3,15;0;5,13797500000001
3,2;0;4,98240000000001
3,25;0;4,82437500000001
3,3;0;4,66390000000001
3,35;0;4,50097500000001
3,4;0;4,33560000000001
3,45;0;4,16777500000001
3,5;0;3,99750000000001
3,55;0;3,82477500000002
3,6;0;3,64960000000002
3,65;0;3,47197500000002
3,7;0;3,29190000000002
3,74999999999999;0;3,10937500000002
3,79999999999999;0;2,92440000000002
3,84999999999999;0;2,73697500000002
3,89999999999999;0;2,54710000000002
3,94999999999999;0;2,35477500000002
3,99999999999999;0;2,16000000000002
4,04999999999999;0;1,96277500000003
4,09999999999999;0;1,76310000000003
4,14999999999999;0;1,56097500000003
4,19999999999999;0;1,35640000000003
4,24999999999999;0;1,14937500000003
4,29999999999999;0;0,93990000000003
4,34999999999999;0;0,727975000000031
4,39999999999999;0;0,513600000000032
